TypeName,ScreenResolution,Cpu,Ram,Memory,Gpu,Price
1,18,58,6.0,10,20,37242.72
1,4,12,4.0,9,5,16463.52
1,4,44,4.0,9,54,26053.92
1,15,59,8.0,21,48,49177.44
1,4,44,8.0,12,54,24455.52
1,4,35,4.0,14,47,23922.72
4,15,113,32.0,34,98,149130.72
1,15,58,8.0,22,35,43316.64
2,31,59,8.0,21,59,79866.72
1,15,72,16.0,27,37,55890.72
3,15,59,8.0,21,59,74538.72
2,31,72,16.0,31,59,98514.72
1,4,58,8.0,14,54,42251.04
1,18,59,8.0,21,42,63882.72
1,20,72,16.0,31,62,82530.72
1,39,94,16.0,31,57,127712.16
4,18,67,8.0,21,57,41505.12
3,18,89,8.0,21,75,52693.92
1,15,72,8.0,22,37,57808.8
1,18,14,4.0,4,3,13852.8
3,18,58,8.0,21,42,53274.672
1,8,59,8.0,21,42,37189.44
2,16,72,8.0,12,59,44701.92
1,18,59,8.0,12,48,48697.92
4,39,115,32.0,36,109,324954.72
1,15,59,8.0,31,59,51095.52
4,18,94,16.0,30,57,73473.12
1,15,72,8.0,21,41,55677.6
4,38,94,16.0,34,82,98301.6
1,4,65,4.0,14,47,26267.04
1,15,80,8.0,12,40,39533.76
4,18,94,16.0,34,82,93186.72
5,34,110,16.0,30,93,162770.4
4,15,94,16.0,31,82,74485.44
1,5,44,6.0,12,54,23389.92
3,31,72,8.0,21,59,103842.72
3,15,72,8.0,21,59,77202.72
1,15,94,8.0,12,57,41505.12
4,15,94,16.0,30,57,74964.96
1,15,35,4.0,9,47,18594.72
1,15,58,8.0,21,54,29250.72
3,21,80,8.0,31,54,79866.72
3,18,72,8.0,21,37,49650.5664
1,8,58,8.0,12,23,31381.92
1,15,72,8.0,21,48,54931.68
3,15,59,8.0,21,59,61218.72
2,20,72,16.0,31,59,68145.12
1,15,59,8.0,21,20,36089.208
2,18,59,8.0,21,59,47898.72
3,15,77,8.0,21,47,72620.64
1,15,59,8.0,12,59,42304.32
4,18,94,16.0,30,82,130873.7952
1,15,80,8.0,21,40,44328.96
1,20,80,16.0,12,36,45768.0528
1,15,58,8.0,21,17,40972.32
1,15,58,8.0,25,43,47472.48
1,15,80,8.0,12,60,67612.32
1,4,44,4.0,12,54,21258.1872
1,4,18,4.0,9,0,17582.4
4,18,94,16.0,30,82,79866.72
1,15,58,8.0,21,54,45767.52
2,16,65,8.0,21,47,36709.92
1,15,80,16.0,21,36,47898.72
1,4,35,4.0,12,47,20779.2
1,15,41,4.0,22,19,30636.0
4,15,115,32.0,34,109,207259.2
4,18,67,8.0,21,57,45074.88
1,4,35,8.0,14,47,31381.92
1,15,72,8.0,22,62,61005.6
1,15,80,8.0,22,43,47365.92
4,15,67,8.0,21,57,46833.12
2,16,80,8.0,21,54,57489.12
1,15,72,8.0,16,37,52480.8
1,5,58,8.0,12,54,29783.52
4,15,115,16.0,21,109,159786.72
1,18,59,4.0,9,59,35964.0
3,26,99,8.0,31,84,108691.2
2,16,72,8.0,12,59,43636.32
4,15,94,16.0,30,90,95850.72
1,4,32,4.0,12,18,24988.32
2,16,72,8.0,31,59,98514.72
1,18,42,4.0,21,27,37402.56
3,15,59,8.0,21,59,50562.72
1,4,33,8.0,14,5,23757.552
1,18,72,16.0,12,42,56423.52
4,15,94,16.0,34,97,133146.72
2,16,94,8.0,31,61,90522.72
1,15,72,8.0,22,37,60845.76
1,15,35,4.0,21,47,23656.32
1,18,59,4.0,9,54,38468.16
1,15,58,4.0,12,54,35004.96
1,15,58,8.0,12,19,30103.2
2,20,59,8.0,21,59,42570.72
2,20,72,8.0,26,59,79866.72
1,15,72,8.0,12,41,54239.04
1,15,72,8.0,21,59,46886.4
3,26,101,8.0,31,85,104370.192
4,15,91,16.0,30,79,82530.72
1,15,72,8.0,21,20,39164.5296
2,33,100,16.0,31,47,133146.72
1,4,77,8.0,9,64,43263.36
1,4,80,12.0,12,54,37992.3696
1,15,72,8.0,22,37,58554.72
1,18,72,8.0,12,27,39693.6
1,8,35,4.0,12,47,26053.92
1,15,72,8.0,10,42,45234.72
1,8,80,6.0,22,40,45767.52
1,15,34,4.0,12,19,22803.84
4,18,67,8.0,21,57,44169.12
1,15,58,6.0,21,54,30849.12
1,18,72,8.0,21,42,50669.28
1,16,80,12.0,12,54,35111.52
1,18,80,8.0,21,68,58448.16
3,15,58,8.0,21,40,52054.56
4,18,94,16.0,30,71,62817.12
1,15,80,8.0,12,40,35112.0528
1,4,2,2.0,0,6,10602.72
4,15,94,8.0,12,57,63243.36
